Name,Walk Score,Transit Score,Bike Score,Population
New Dorp,74,68,53,"9,709"
Queens Village,73,74,54,"56,540"
Manhattan Beach,72,72,58,"6,532"
Van Cortlandt Park,72,82,51,524
Grant City,72,71,61,"4,974"
Elm Park,72,61,46,"4,594"
South Beach,71,65,61,"13,647"
Cambria Heights,71,61,53,"16,159"
Whitestone,71,56,48,"30,448"
Rochdale,70,72,49,"24,666"
Castle Hill,70,66,72,"14,730"
Graniteville,70,62,49,"11,295"
Howard Beach,69,67,61,"26,240"
Mill Basin,69,70,57,"11,885"
Country Club,69,67,48,"4,522"
Bergen Beach,69,73,56,"13,098"
Holliswood,69,77,39,"8,048"
Bulls Head,68,59,63,"13,820"
Grasmere,68,73,44,"5,993"
Dongan Hills,68,68,53,"13,852"
Rockaway Beach,67,67,65,"35,942"
Far Rockaway,66,70,61,"76,523"
Throgs Neck,66,53,46,"33,641"
New Brighton,65,66,41,"10,494"
Blissville,65,74,61,613
Gerritsen Beach,65,58,64,"7,199"
Great Kills,64,60,48,"27,953"
Co-Op City,64,79,63,"35,450"
Glen Oaks,64,58,50,"12,540"
Arrochar,63,70,54,550
Manor Heights,63,54,36,"7,495"
New Dorp Beach,63,63,61,"6,298"
Concord,63,70,43,"7,293"
Tottenville,62,56,46,"14,635"
Alley Park,61,56,57,547
Springfield Gardens,61,66,52,"8,826"
Eltingville,61,64,45,"22,910"
Douglaston,60,54,39,"14,120"
Rosedale,60,59,55,"26,160"
Pleasant Plains,60,55,43,"3,603"
Clifton,59,68,56,"9,661"
Silver Lake,59,60,35,"2,805"
Bay Terrace,59,65,53,"4,457"
Midland Beach,58,62,63,"8,667"
Emerson Hill,57,59,32,"5,387"
Sunnyside,57,62,46,"4,822"
Richmond Town,56,52,47,"2,489"
Fort Wadsworth,56,65,58,"2,376"
City Island,54,37,45,"4,307"
Mariners Harbor,54,57,44,"15,325"
Travis - Chelsea,53,45,45,"2,948"
Spencer Estates,52,75,44,"3,578"
Oakwood,52,63,54,"11,991"
Rossville,51,44,42,"9,847"
Grymes Hill,50,64,34,"5,252"
New Springville,48,58,55,"20,741"
Annadale,48,56,40,"10,021"
Brookville,48,64,59,"9,830"
Fort Hamilton,47,65,64,763
Prince's Bay,44,56,50,"6,342"
Huguenot,43,54,41,"8,671"
Bloomfield,43,56,45,513
Willowbrook,43,52,38,"9,688"
Arden Heights,43,45,35,"10,460"
Broad Channel,43,76,53,"2,412"
Ocean Breeze,42,59,59,"2,626"
Woodrow,40,47,46,"10,780"
Todt Hill,39,56,26,"2,003"
Charleston,39,44,34,"2,002"
Lighthouse Hill,37,47,27,"1,766"
Sea Gate,36,46,41,"4,638"
Greenridge,33,59,32,"9,021"
Randalls-Wards Island,21,71,57,"1,625"
Rikers Island,2,34,22,"10,681"
